platform,id,sort,rank,parent_id,text,likes,likes_display,published_utc,published_label,creator,url
youtube,UgzyqxzzOJ9NgQrGfXh4AaABAg,newest,10,,"Comment on food section (1h23m): 
I walked 4000 km (2500 miles) as a pilgrim from my home in Belgium to Spain and I lost 11kg in weight eating local cuisine. 
I walked 4000km (2500 miles) on the Appalachian trial in the USA and gained 4 kg in weight eating local cuisine. 

That's a difference of 15kg even after using 5000 calories per day. Still shocks me thinking about it",, ,,20 hours ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgzyqxzzOJ9NgQrGfXh4AaABAg
youtube,UgxnCMzoBfuqsF_V_Bp4AaABAg,newest,11,,Not sure how I feel about this podcaster who seems to be a bootlicker for Musky. That dude is a danger to the world and a virulent racist. Why the host would spend his money on any of that clown’s products is beyond me. Very disappointing.,, ,,23 hours ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgxnCMzoBfuqsF_V_Bp4AaABAg
youtube,Ugw5UKJnmZQ70K3MAQZ4AaABAg,newest,12,,"If By taking back their money… 
Bigger investors will buy it for cheaper 
Than in an “optimistic market”",, ,,1 day ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=Ugw5UKJnmZQ70K3MAQZ4AaABAg
youtube,Ugwk4101g5lMhd_1zG94AaABAg,newest,13,,"I intently listened to Grantham pontificate his stock market advice until he defended paying taxes, saying he “donated” 90% of his $Billions to a “foundation” that supported global warming, Green earth, climate control.  Grantham instantly lost all credibility. NB. He vilifies living in the U.S., so leave",, ,,1 day ago (edited),False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=Ugwk4101g5lMhd_1zG94AaABAg
youtube,UgxFD-wYjDvskBNIzTd4AaABAg,newest,14,,"Wealth inequality is definitely a problem but the Communism BS people in USA and uk are advocating for isn’t a solution either, it’s never been successful. Tax the rich? Ridiculous. Even China gave in and their economy is also highly capitalistic with a Gini co-efficient on par with USA, though their PPP is the best globe and has been for some time. The best model is probably Singapore 🧐 the average joe in western nations definitely spends flippantly….daily coffee, eating at restaurants, nails, haircuts, latest phone, latest car, latest shoes, cosmetics, skincare, credit cards, cinema, yearly vacations, subscriptions, constant wardrobe turnovers….people spend too much to be perceived well by others, there’s no reason why someone from Asia or Africa can come to USA with very little but through hard work, sacrifice, motivation and discipline works their way up to wealth, own homes, stock and have retirements. Part of one’s financial illiteracy and lack of progress is their own fault, make your own opportunities and the sacrifices to break the mold of mediocrity.",, ,,1 day ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgxFD-wYjDvskBNIzTd4AaABAg
youtube,UgxfnGfd8lUWsYAiYqB4AaABAg,newest,15,,"Unul din marile tare ale omenirii este ca nu militeaza pentru controlul/educatia constientizarea lacomiei unor reprezentanti care au pierdut busola cumpatarii, masurii, bunului simt. Parerea mea este ca bursa trebuie desfintata. Este doar o speculatie. O manipulare a capitalului care distorsioneaza economia reala pentru satisfacerea unor bolnavi de lacomie. Lacomia este o tara, este un pacat mare.",, ,,1 day ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgxfnGfd8lUWsYAiYqB4AaABAg
youtube,UgxaSj_PHtvsdm87xiJ4AaABAg,newest,16,,This guy makes me want to double down,, ,,1 day ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgxaSj_PHtvsdm87xiJ4AaABAg
youtube,UgybQCvTkDe9E3-TH9d4AaABAg,newest,17,,Time makes a fool of us all 19:36,, ,,1 day ago (edited),False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=UgybQCvTkDe9E3-TH9d4AaABAg
youtube,Ugy_a3rsVgGgkVtQJXV4AaABAg,newest,18,,👏👏👏,, ,,1 day ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=Ugy_a3rsVgGgkVtQJXV4AaABAg
youtube,Ugz-NCAECVPUwHecAoV4AaABAg,newest,19,,"The ""paper clip"" story; I'm remembering the similar comment by the Jeff Goldblum character in Jurassic Park.",, ,,1 day ago,False,https://www.youtube.com/watch?v=32u5T6lO8qk&lc=Ugz-NCAECVPUwHecAoV4AaABAg
